document_id,clean_text,sentiment
11,it was great to see some of my favorite stars of years ago including john ritter ben gazarra and audrey hepburn they looked quite wonderful but that was it they were not given any characters or good lines to work with i neither understood or cared what the characters were doingsome of the smaller female roles were fine patty henson and colleen camp were quite competent and confident in their small sidekick parts they showed some talent and it is sad they didnt go on to star in more and better films sadly i didnt think dorothy stratten got a chance to act in this her only important film rolethe film appears to have some fans and i was very openminded when i started watching it i am a big peter bogdanovich fan and i enjoyed his last movie cats meow and all his early ones from targets to nickleodeon so it really surprised me that i was barely able to keep awake watching this oneit is ironic that this movie is about a detective agency where the detectives and clients get romantically involved with each other five years later bogdanovichs exgirlfriend cybil shepherd had a hit television series called moonlighting stealing the story idea from bogdanovich of course there was a great difference in that the series relied on tons of witty dialogue while this tries to make do with slapstick and a few screwball linesbottom line it aint no paper moon and only a very pale version of whats up doc,positive
12,i cant believe that those praising this movie herein arent thinking of some other film i was prepared for the possibility that this would be awful but the script or lack thereof makes for a film thats also pointless on the plus side the general level of craft on the part of the actors and technical crew is quite competent but when youve got a sows ear to work with you cant make a silk purse ben g fans should stick with just about any other movie hes been in dorothy s fans should stick to galaxina peter b fans should stick to last picture show and target fans of cheap laughs at the expense of those who seem to be asking for it should stick to peter bs amazingly awful book killing of the unicorn,negative
13,never cast models and playboy bunnies in your films bob fosses star about dorothy stratten of whom bogdanovich was obsessed enough to have married her sister after her murder at the hands of her lowlife husband is a zillion times more interesting than dorothy herself on the silver screen patty hansen is no actress eitheri expected to see some sort of lost masterpiece a la orson welles but instead got audrey hepburn cavorting in jeans and a godawful poodlesque hairdovery disappointingpaper moon and the last picture show i could watch again and again this clunker i could barely sit through once this movie was reputedly not released because of the brouhaha surrounding ms strattens tawdry death i think the real reason was because it was so bad,neutral
14,its not the cast a finer group of actors you could not find its not the setting the director is in love with new york city and by the end of the film so are we all woody allen could not improve upon what bogdonovich has done here if you are going to fall in love or find love manhattan is the place to go no the problem with the movie is the script there is none the actors fall in love at first sight words are unnecessary in the directors own experience in hollywood that is what happens when they go to work on the set it is reality to him and his peers but it is a fantasy to most of us in the real world so in the end the movie is hollow and shallow and messageless,positive
15,today i found they all laughed on vhs on sale in a rental it was a really old and very used vhs i had no information about this movie but i liked the references listed on its cover the names of peter bogdanovich audrey hepburn john ritter and specially dorothy stratten attracted me the price was very low and i decided to risk and buy it i searched imdb and the user rating of was an excellent reference i looked in mick martin marsha porter video dvd guide and wow four stars so i decided that i could not waste more time and immediately see it indeed i have just finished watching they all laughed and i found it a very boring overrated movie the characters are badly developed and i spent lots of minutes to understand their roles in the story the plot is supposed to be funny private eyes who fall in love for the women they are chasing but i have not laughed along the whole story the coincidences in a huge city like new york are ridiculous ben gazarra as an attractive and very seductive man with the women falling for him as if her were a brad pitt antonio banderas or george clooney is quite ridiculous in the end the greater attractions certainly are the presence of the playboy centerfold and playmate of the year dorothy stratten murdered by her husband pretty after the release of this movie and whose life was showed in star and death of a centerfold the dorothy stratten story the amazing beauty of the sexy patti hansen the future mrs keith richards the always wonderful even being fiftytwo years old audrey hepburn and the song amigo from roberto carlos although i do not like him roberto carlos has been the most popular brazilian singer since the end of the s and is called by his fans as the king i will keep this movie in my collection only because of these attractions manly dorothy stratten my vote is fourtitle brazil muito riso e muita alegria many laughs and lots of happiness,positive
16,this film is just plain horrible john ritter doing pratt falls of the actors delivering their lines as if they were reading them from cue cards poor editing horrible sound mixing dialogue is tough to pick up in places over the background noise and a plot that really goes nowhere i didnt think id ever say this but dorothy stratten is not the worst actress in this film there are at least others that suck more patti hansen delivers her lines with the passion of ben stein i started to wonder if she wasnt dead inside even bogdanovichs kids are awful the oldest one is definitely reading her lines from a cue card this movie is seriously horrible theres a reason bogdanovich couldnt get another project until years later please dont watch it if you see it in your television listings cancel your cable if a friend suggests it to you reconsider your friendship if your spouse wants to watch it youre better off finding another soulmate id rather gouge my eyes out with lawn darts than sit through this piece of garbage again if i could sum this film up in one word that word would be suckotrocity,negative
17,my interest in dorothy stratten caused me to purchase this video although it had great actorsactresses there were just too many subplots going on to retain interest plus it just wasnt that interesting dialogue was stiff and confusing and the story just flipped around too much to be believable i was pretty disappointed in what i believe was one of audrey hepburns last movies ill always love john ritter best in slapstick he was just too pathetic here,neutral
18,i have this film out of the library right now and i havent finished watching it it is so bad i am in disbelief audrey hepburn had totally lost her talent by then although shed pretty much finished with it in robin and marian this is the worst thing about this appallingly stupid film its really only of interest because it was her last feature film and because of the dorothy stratten appearance just prior to her homicidethere is nothing but idiocy between gazzara and his cronies little signals and little bows and nods to real screwball comedy of which this is the faintest palest shadowwho could believe that there are even some of the same manhattan environs that hepburn inhabited so magically and even mythically in breakfast at tiffanys twenty years earlier the soundtrack of old sinatra songs and the gershwin song from which the title is taken is too loud and obviousyou sure dont have to wait for the credits to find out that something was subtly woven into the cinemusique of the picture to know when the songs blasted out at youreverting to type means going back up as well as going back down i guess in this case audrey hepburns chic european lady is all you see of someone who was formerly occasionally an actress and always a star here she has even lost her talent as a star if someone whose talent was continuing to grow in the period like annmargret had played the role there would have been some life in it even given the unbelievably bad material and mongoloidlevel situationshepburn was a great person of course greater than most movie stars ever dreamed of being and she was once one of the most charming and beautiful of film actors after this dreadful performance she went on to make an atrocious tv movie with robert wagner called love among thieves in they all laughed it is as though she were still playing an ingenue in her s even much vainer and obviously less intelligent actresses who insisted upon doing this like lana turner were infinitely more effective than is hepburn turner took acting seriously even when she was bad hepburn doesnt take it seriously at all couldnt be bothered with it even her hair and clothes look tacky her last really good work was in two for the road perhaps her most perfect if possibly not her best in many waysand that girl who plays the country singer is just sickening john ritter is horrible there is simply nothing to recommend this film except to see dorothy stratten who was truly pretty otherwise critic david thomsons oftused phrase losing hisher talent never has made more senseben gazarra had lost all sex appeal by then and so we have films with gazarra and hepburnwho could ask for anything less sandra dees last pitiful film lost from years later a lowbudget nothing had more to it than this at least ms dee spoke in her own voice by audrey hepburns accent just sounded silly shed go on to do the pbs gardens of the world with audrey hepburn and there her somewhat irritating accent works as she walks through english gardens with aristocrats or waxes effusively about what i like most is when flowers go back to nature as in naturalized daffodils but in an actual fictional movie she just sounds ridiculousto think that breakfast at tiffanys was such a profound sort of light poetic thing with audrey hepburn one of the most beautiful women in the worldshe was surely one of the most beautiful screen presences in my fair lady matching garbo in several things and delphine seyrig in last year at marienbad and then this and her final brief role as the angel hap in the spielberg film always was just more of the lady stuffcorny witless and stiflingi went to her memorial service at the fifth avenue presbyterian church a beautiful service which included a boys choir singing the shaker hymn simple gifts the only thing not listed in the program was the sudden playing of hepburns singing moon river on the fire escape in breakfast at tiffanys and this brought much emotion and some real tears out in the congregationa great lady who was once a fine actress as in the nuns story and one of the greatest and most beautiful of film stars in many movies of the s and s who became a truly bad onethats not all that common and perhaps it is only a great human being who in making such things as film performances trivial nevertheless has the largeness of mind to want to have the flaws pointed out mercilesslywhich all of her late film work contained in abundance most of the talk about hepburns miscasting is about my fair lady but the one that should have had the original actress in it was wait until dark which had starred lee remick on broadway never as celebrated as hepburn she was a better actress in many ways hepburn was completely incapable of playing anything really sordid although hepburn was at least adequate enough in that part after that all of her acting went downhill,positive
19,i think i will make a movie next weekend oh wait im workingoh im sure i can fit it in it looks like whoever made this film fit it in i hope the makers of this crap have day jobs because this film sucked it looks like someones home movie and i dont think more than was spent making it total crap who lets this stuff be released,neutral
20,pros nothingcons everythingplot summary a female reporter runs into a hitchhiker that tells her stories about the deaths of people that were killed by zombiesreview never in my life have i come across a movie as bad the zombie chronicles filmed on a budget of what looks to be about bucks tzc is a completely horrible horror movie that relies on lame forgetable actors whom couldnt act to save their lives and gore thats more gross than frightening how does a movie like this even get made simply put avoid tzc like a sexuallytransmitted diseasemy last cents humorously enough this movie was made by a movie company called brain damage films theyre brains must have really been damaged to come up with a craptacular movie like thismy rating out of if it were up to me this movie would get the rating of negative bajillion,negative
21,if the crew behind zombie chronicles ever read this heres some advice guys in a twist endingtype movie its not a good idea to insert closeups of every death in the movie in the opening credits that tends to spoil the twists yknow i know you produced this on a shoestring and to be fair you worked miracles with your budget but please hire people who can actually act or at least walk talk and gesture at the same time joe haggerty im looking at you if youre going to set a part of your movie in the past only do this if you have the props and costumes of the time twist endings are supposed to be a surprise sure we dont want twists that make no sense but signposting the reveal as soon as you introduce a character thats not a great ideakudos to the guys for trying but in all honesty id rather they hadntonly for zombie completists,neutral
22,st watched out of dirbrad sykes mindless d movie about flesheating zombies in a story within a movie chronicle and yes we get to see zombies eating human flesh parts in d wow not that has been done time and time again in d in a zombie movie but what usually makes a zombie movie better is the underlying story not the actual flesheating thats what made the original zombie classics good the flesheating was just thrown in as an extra were actually bored throughout most of this part chronicle because of the lametwilightzone like easily understood and slowpacingly revealed finales the last story is actually the story the movie started withhaving a reporter investigating a socalled ghost town and of course we get to see flesh eating zombies in that one as well well i think ive said enough watch the classics not this d borefeast,positive
23,theres tons of goodlooking women in this flick but alas this movie is nudityfree grrrrrrrrrr strike oneahem one story in this film takes place in then why the hell are the main characters driving a kia sportage hello continuity anyoneas you might know this movie was released in stereoscopic d and it is the most hideous effect i have ever seen im not sure if someone botched the job on this but there was no d just doublevision blurs i didnt have the same problem with this companys other d movies hunting season and camp blood sure the d in those ones sucked too but with them i could see a semblance of d effectthis thing is a big ball of nothingand whoever that women was who played the daughter of the eareating dame yum id like to see more of her in movies as well looks like janet margolin at a young age purrrrrrrrrrrrrrrr,neutral
24,en route to a small town that lays way off the beaten track but which looks suspiciously close to a freeway a female reporter runs into a strange hitchhiker who agrees to help direct her to her destination the strange man then recounts a pair of gruesome tales connected to the area in the first story an adulterous couple plot to kill the womans husband but eventually suffer a far worse fate themselves when they are attacked by a zombie and in the second story a group of campers have their vacation cut short when an undead outlaw takes umbrage at having his grave peed onthe zombie chronicles is an attempt by writer garrett clancy and director brad sykes at making a zombie themed anthologya nice idea but with only two stories it falls woefully short and thats not the only way in which this low budget gore flick fails to deliver the acting is lousy with joe haggerty as the taletelling ebenezer jackson giving one of the strangest performances i have ever seen the locations are uninspired the script is dreary theres a sex scene with zero nudity and the ending well that beggars beliefto be fair some of sykes creative camerawork is effective although the gimmicky technique employed as characters run through the woods is a tad overused and joe castros cheapo gore is enthusiastic an ear is bitten off eyeballs are plucked out a face is removed brains are squished and there is a messy decapitation these positives just about make the film bearable but be warned the zombie chronicles aint a stroll in the park even for seasoned viewers of zgrade trashi give the zombie chronicles but generously raise my rating to since i didnt get to view the film with the benefit of d although i have a sneaking suspicion that an extra dimension wouldnt have made that much of a difference,neutral
25,without wishing to be a killjoy brad sykes is responsible for at least two of the most dull and clichd films ive ever seen this being one of them and camp blood being another the acting is terrible the print is shoddy and everything about this film screams seriously you could do better yourself maybe this is a challenge to everyone to saturate youtube with our own zombie related crapi bought this for but remember you cant put a price on minutes of your life youd do well to avoid this turkey even at a bargain basement price,neutral
26,my girlfriend once brought around the zombie chronicles for us to watch as a joke little did we realize the joke was on her for paying for it while watching this film i started to come up with things i would rather be doing than watching the zombie chronicles these included drinking bleach rubbing sand in my eyes writing a letter to brad sykes and garrett clancy reenacting the american civil war tax returns gcse maths sex with an old ladygarrett clancy aka sgt ben draper wrote this the guy couldnt even dig a hole properly the best ting he did was kick a door down the best part of the film this was the worst film i have ever seen and ive seen white noise the light never has a film had so many mistakes in it my girlfriend left it here so now i live with the shame of owning this piece of crapnews just in owen wilson watched this film and tried to kill himself factdo not watch,positive
27,amateur no budget films can be surprisingly good this however is not one of themah another brad sykes atrocity the acting is hideous except for emmy smith who shows some promise the camera direction needs serious reworking and no more hold the camera and run gimmicks either it just doesnt work the special effects are unimaginative theres a problem when the effect can be identified in real time if youre going to rip off an ear please dont let us see the actors real ear beneath the blood the scenery is bland and boring same as mr sykes other ventures and the music is a cross between cheap motel porn and really bad guitar driven metal see the scenery commentdid i mention the lack of any real plot or character development apparently the scriptwriter didntwhoever is funding this guy please stop ive seen some of his other home movies which i will not plug and they are just as bad normally a director will grow and learn from his previous efforts not this guy its one thing to be an amateur filmmaker but anyone can be a hackdefinitely not even a popcorn film of course chewing on popcorn kernels would be less painful than this effortaward the worst ever military pushups in a film,negative
28,ok its not the best film ive ever seen but at the same time ive been able to sit and watch it twice story line was pretty awful and during the first part of the first short story i wondered what the hell i was watching but at the same time it was so awful i loved it cheap laughs all the wayand jebidia deserves an oscar for his role in this movie the only thing that let him down was half way through he stopped his silly name callingoverall the film was pretty perfetic but if your after cheap laughs and you see it in pound land go by it,neutral
29,some films that you pick up for a pound turn out to be rather good rd century films released dozens of obscure italian and american movie that were great but although hardgore released some fulci films amongst others the bulk of their output is crap like the zombie chroniclesthe only positive thing i can say about this film is that its nowhere near as annoying as the stink of flesh other than that its a very clumsy anthology film with the technical competence of a lego house built by a whelkits been noted elsewhere but you really do have to worry about a film that inserts previews of the action into its credit sequence so by the time it gets to the zombie attacks youve seen it all alreadybad movie fans will have a ball watching the continuity mistakes and the diabolical acting of the cast especially the hitchhiker who was so bad he did make me laugh a bit and kudos to hardgore for getting in to the spirit of things by releasing a print so bad it felt like i was watching some beat up home video of a camping tripawful awful stuff weve all made stuff like this when weve gotten a hold of a camera but common sense prevails and these films languish in our cupboards somewhere avoid,negative
30,i received this movie as a gift i knew from the dvd cover this movie are going to be badafter not watching it for more than a year i finally watched it what a pathetic movie i almost didnt finish watching this bad moviebut it will be unfair of me to write a review without watching the complete movietrust me when i say this movie sucks i am truly shocked that some bad filmmaker wane bee got even financed to make this pathetic movie but it couldnt have cost more than to produce this movie all you need are a cheap camcorder or a cell phone camera about people with no acting skills a scrip that were written by a couple of drunk peoplein the fist part of this ultra bad move a reporter tara woodley run a suppose to be drunk man over on her way to report on a hunted town he are completely unharmed they went to a supposed to be abandon house but luckily for the it almost complete furnished and a bottle of liquor on the door step happens to be there just for the supposed to be drunk man but all is not what it seemsthen the supposed drunk man start telling tara ghostzombies storiesthe fist of his stupid lame stories must be the worst in historyhis storysgt ben draper let one of his soldiers die of complete exhaustion i think this is what happensafter letting the poor soldier private wilson do sit ups he let him dig a grave and then the soldier collapse ben draperburies him in a shallow gravebut sgt ben draper are in for n big surprise his wifegirl fiend knows about this and she and her lover kills sgt ben draper to take revenge on private wilsonnext to the grave of the soldier he sort off murdered the soldier wakes up from his grave in the form of zombie and kill them for taking revenge on his behalfthe twist ending were so lameeven if you like b horror movies dont watch this movie,negative
31,i have not seen many low budget films i must admit but this is the worst movie ever probably the main character the old man talked like he had a lobotomy and lost the power to speak more than one word every seconds a year old could act better the story had the most awful plot and well the army guy had put what he thought was army like and then just went over the top i only watched it to laugh at how bad it was and hoped it was leading onto the real movie i cant believe it was under the night rental thing at blockbusters instead of a please take this for free and get it out of our sight i think there was one semi decent actor other than the woman i think the only thing ok with the budget was the make up but they show every important scene of the film in the beginning music bit awful simply awful,neutral
32,oh wait i can this movie is not for the typical film snob unless you want to brush up on your typical cinematic definitions like continuity editing and geographic match i couldnt tell where i was in this movie one second theyre in the present next minute their supposedly in the s driving a modern suv and wearing what looked like to me as s style clothing i think i couldnt pay long enough attention to it since the acting was just horrible i think it only got attention because it has a d which i did not watch if youre a bmovie buff and by bmovie i mean bad movie then this film is for you its homemovie and all nonsense style will keep you laughing for as long as you can stay awake if your tastes are more for goddard and antonioni though just skip this one,negative
33,you have to admire brad sykes even if you dont particularly want to a man who churns out budget horror after budget horror to less than enthusiastic receptions but keeps on doing it all the same even the halfhearted praise than surrounds his camp blood films is given grudgingly and im as guilty of this as anyone brad normally manages to throw something interesting into the mix a neat idea a kooky character whatever but without the funds to take it further than base level he relies on the audience to cut him some slack and appreciate it for what it is and what it could be joe haggerty gives a spirited and very funny performance as ebenezer jackson and its a credit to sykes that he can sense that this oddball turn is going to work within the framework of the film coming to a multiplex near you in a parallel universe somewhere,neutral
34,the zombie chronicles aspect ratio nuview dsound format monowhilst searching for a literal ghost town in the middle of nowhere a young reporter emmy smith picks up a grizzled hitchhiker joseph haggerty who tells her two stories involving flesheating zombies reputed to haunt the areaan absolute waste of time hobbled from the outset by haggertys painfully amateurish performance in a key role worse still the two stories which make up the bulk of the running time are utterly routine made worse by indifferent performances and lackluster direction by brad sykes previously responsible for the likes of camp blood this isnt a fun movie in the sense that ed woods movies are fun he at least believed in what he was doing and was sincere in his efforts despite a lack of talent sykes homemade movies are in fact aggravating boring and almost completely devoid of any redeeming virtue and most viewers will feel justifiably angry and cheated by such unimaginative badlyconceived junk the d format is utterly wasted here,neutral
35,a woman asks for advice on the road to reach a mysterious town and hears two ghoulish stories from the local weirdo both zombie related but perhaps fate has something nasty in store for her toothe zombie chronicles is absolutely one of the worst films i have ever seen in fact i must confess so bad was it i fast forwarded through most of the garbage and there was a lot of that believe me it runs for just minutes and there is still tons of filler you get some skinhead doing a lot of push ups plenty of dull kissykissy scenes between goofy teens that rhymed tee hee and some fine examples of why some people should never become actorsas for the title characters they barely even have a footnote in the film why you get more undead action in the intro than you do the preceding feature though considering how pathetic the eyes bursting out of sockets and the eating of brains sequences are amongst other delights maybe thats a blessing in disguiseand to top it all off it looks likes its been filmed on someones mobile phone for broadcast on youtube jerky camerawork scratches on the print flickering lights i had to rub my eyes when i realised it was made in and not even the clothes and fashioned look about three decades out of dateif you think im not qualified to do a review of chronicles having not seen the whole film then go ahead you try sitting through it i betcha you wont even make it to the first appearance of the bluesmartie coloured freaks before making your excuses and leaving it is truly laughable that anyone chose to release it and honestly youll get far more fun resting your drink on the disc than actually torturing your dvd player with this gigglesome excuse for horror in fact dont for surprised if it packs its bags and leaves in the morning leaving you doomed to watch vhs tapes for the rest of your life you have been warned ps what kind of rated horror has the woman keep a massive sports bra on during the obligatory sex scene see the movie cant even get that part right,neutral
36,really i cant believe that i spent on this movie i am a huge zombie fanatic and thought the movie couldnt be that bad it had zombies in it right was i wrong to be honest the movie had its momentsi thought it was cool when the guy got his head ripped off but that was about it overall i think that it would be more enjoyable to slide down a razorblade slide on my bare nutsack into a vat of vinegar then watch this movie again the movie could have been better if we could see some boob but i had to watch the trailers for the other movies produced by this company to see that buyer bewareunless you are into masochism,neutral
37,i rented this movie about years ago and it still stands out in my mind as the worst movie ever made i dont think i ever finished it it is worse than a home video made by a high school student i remember them doing a flashback to something and in the flashback there was a man with a polo shirt oakley sunglasses and a newer suv like a toyota rav or something i dont remember i dont understand how they could have possibly said that to be in the s he might have had a cell phone too i cant remember it was just horrible i returned it to the video store and asked them why they even carry the movie and if i could get the hour of my life back to this day it is the worst movie i have ever seen and i have seen some pretty bad ones,negative
38,spoilersi was very disappointed in loves abiding joy i had been waiting a really long time to see it and i finally got the chance when it reaired thursday night on hallmark i love the first three love movies but this one was nothing like i thought it was going to be the whole movie was sad and depressing there were way to many goofs and the editing was very poor to many scenes out of context i also think the death of baby kathy happened way to soon and clarks appearance in the movie just didnt seem to fit it seemed like none of the actors really wanted to be there they were all lacking emotion there seemed to be no interaction between missie and willie at alli think the script writers should have went more by the book it seems like every movie thats been made so far just slips further and further away from janette okes writings i mean in the movie they never mentioned a thing about the mine and the two boys or clark getting hurt because of it and i think missie and willies reactions to kathys death could have been shown and heard rather than just heardout of the four movies that have been made so far id have to say that loves abiding joy is my least favorite i hope with the next four movies that more of the book is followed and if clarks character is in them i hope hes got a bigger part and i hope his part isnt so bland i also hope there is more of scottie and cookie and maybe even marty but who knows what the script writers will have in store next,positive
39,ive seen all four of the movies in this series each one strays further and further from the books this is the worst one yet my problem is that it does not follow the book it is titled after in any way the directors and producers should have named it any thing other than loves abiding joy the only thing about this movie that remotely resembles the book are the names of some of the characters willie missie henry clark scottie and cookie the namesagesgenders of the children are wrong the entire story line is no where in the booki find it a great disservice to janette oke her books and her fans to produce a movie under her title that is not correct in any way the music is too loud the actors are not convincing they lack emotionsif you want a good family movie this might do it is clean dont watch it though if you are hoping for a condensed version of the book i hope that this will be the last movie from this series but i doubt it if there are more movies made i wish michael landon jr and others would stick closer to the original plot and story lines the books are excellent and if closely followed would make excellent movies,positive
